Lead_ID,Location,College,Year_of_Study,Program_Interest,Lead_Source
LD99,Jaipur,University of Rajasthan,1st,Business Analytics,WhatsApp
LD100,Shimla,Indira Gandhi Medical College,1st,Electric Vehicle,LinkedIn
LD101,Mumbai,Indian Institute of Technology Bombay,1st,Data Science,Collaboration
LD102,Bangalore,Indian Institute of Management Bangalore,2nd,Prompt Engineering,LinkedIn
LD103,Mysore,"National Institute of Engineering, Mysore",2nd,Prompt Engineering,Instagram
LD104,Chennai,Anna University,2nd,AI,Collaboration
LD105,Delhi,University of Delhi,3rd,Electric Vehicle,WhatsApp
LD106,Chennai,University of Madras,2nd,Electric Vehicle,Google Form
LD107,Ahmedabad,CEPT University,2nd,Robotics,WhatsApp
LD108,Jaipur,"Birla Institute of Technology and Science, Pilani",4th,Business Analytics,College
LD109,Varanasi,Mahatma Gandhi Kashi Vidyapith,4th,Finance,LinkedIn
LD110,Mysore,All India Institute of Speech and Hearing,3rd,AI,WhatsApp
LD111,Rishikesh,Parmarth Niketan,2nd,Electric Vehicle,Instagram
LD112,Amritsar,Guru Nanak Dev University,3rd,Data Science,Instagram
LD113,Delhi,All India Institute of Medical Sciences,3rd,Accounting,Google Form
LD114,Chennai,Madras Christian College,1st,Business Analytics,Instagram
LD115,Kolkata,Presidency University,2nd,AI,Mass-Mailing
LD116,Delhi,Indian Institute of Technology Delhi,1st,Electric Vehicle,Instagram
LD117,Jaipur,University of Rajasthan,1st,Business Analytics,WhatsApp
LD118,Shimla,Himachal Pradesh University,2nd,Data Science,WhatsApp
LD119,Agra,St. John's College,3rd,Software Engineering,College
LD120,Srinagar,University of Kashmir,1st,Business Analytics,Google Form
LD121,Lucknow,Babasaheb Bhimrao Ambedkar University,1st,Business Analytics,WhatsApp
LD122,Goa,Goa College of Engineering,4th,Data Science,Google Form
LD123,Mysore,University of Mysore,3rd,AI,Instagram
LD124,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,AI,Instagram
LD125,Lucknow,Babasaheb Bhimrao Ambedkar University,2nd,Finance,College
LD126,Delhi,Jawaharlal Nehru University,2nd,Robotics,Google Form
LD127,Mysore,All India Institute of Speech and Hearing,3rd,AI,LinkedIn
LD128,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Software Engineering,Mass-Mailing
LD129,Kolkata,Indian Statistical Institute,3rd,Data Science,LinkedIn
LD130,Varanasi,Banaras Hindu University,1st,AI,College
LD131,Pune,University of Pune,1st,Data Analytics,Instagram
LD132,Shimla,Indira Gandhi Medical College,1st,Robotics,College
LD133,Chennai,Loyola College,1st,Accounting,WhatsApp
LD134,Mysore,All India Institute of Speech and Hearing,4th,Software Engineering,College
LD135,Bangalore,RV College of Engineering,2nd,Business Analytics,WhatsApp
LD136,Chennai,University of Madras,2nd,Data Analytics,Mass-Mailing
LD137,Delhi,University of Delhi,1st,Software Engineering,College
LD138,Agra,St. John's College,1st,Business Analytics,Mass-Mailing
LD139,Jaipur,"Birla Institute of Technology and Science, Pilani",4th,Business Analytics,Google Form
LD140,Amritsar,"Khalsa College, Amritsar",2nd,Electric Vehicle,WhatsApp
LD141,Shimla,Indian Institute of Advanced Study,3rd,Prompt Engineering,Mass-Mailing
LD142,Varanasi,Central Hindu School,2nd,Data Science,Collaboration
LD143,Pune,Fergusson College,4th,AI,WhatsApp
LD144,Amritsar,BBK DAV College for Women,2nd,AI,College
LD145,Bangalore,Indian Institute of Science,2nd,Prompt Engineering,WhatsApp
LD146,Kolkata,Indian Institute of Technology Kharagpur,1st,Business Analytics,WhatsApp
LD147,Goa,Padre Conceicao College of Engineering,4th,Software Engineering,Google Form
LD148,Bangalore,Bangalore University,2nd,Software Engineering,Google Form
LD149,Agra,Dr. Bhimrao Ambedkar University,4th,Robotics,College
LD150,Mysore,"National Institute of Engineering, Mysore",1st,Data Analytics,WhatsApp
LD151,Goa,Goa College of Engineering,1st,Business Analytics,Instagram
LD152,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Accounting,Mass-Mailing
LD153,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,AI,Google Form
LD154,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Accounting,Collaboration
LD155,Mumbai,Indian Institute of Technology Bombay,3rd,Business Analytics,LinkedIn
LD156,Mysore,University of Mysore,1st,Data Analytics,WhatsApp
LD157,Goa,Goa University,3rd,Data Analytics,Collaboration
LD158,Kolkata,University of Calcutta,1st,Accounting,Collaboration
LD159,Chennai,University of Madras,4th,Software Engineering,LinkedIn
LD160,Mumbai,St. Xavier's College,1st,Accounting,Instagram
LD161,Jaipur,Malaviya National Institute of Technology Jaipur,1st,AI,LinkedIn
LD162,Chennai,Indian Institute of Technology Madras,1st,Prompt Engineering,Mass-Mailing
LD163,Amritsar,"Hindu College, Amritsar",2nd,Software Engineering,Instagram
LD164,Mumbai,St. Xavier's College,3rd,Software Engineering,LinkedIn
LD165,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,1st,AI,LinkedIn
LD166,Udaipur,Vidya Bhawan Polytechnic College,1st,Business Analytics,College
LD167,Pune,University of Pune,4th,Software Engineering,Google Form
LD168,Pune,Indian Institute of Technology Pune,3rd,Data Science,Mass-Mailing
LD169,Goa,Goa College of Engineering,3rd,Business Analytics,Collaboration
LD170,Mumbai,Tata Institute of Social Sciences,1st,Prompt Engineering,College
LD171,Jaipur,Malaviya National Institute of Technology Jaipur,3rd,Business Analytics,Google Form
LD172,Srinagar,"Government Medical College, Srinagar",2nd,Robotics,Instagram
LD173,Chennai,Indian Institute of Technology Madras,3rd,Finance,Mass-Mailing
LD174,Rishikesh,Parmarth Niketan,1st,Data Science,LinkedIn
LD175,Agra,Dr. Bhimrao Ambedkar University,4th,Data Science,Mass-Mailing
LD176,Rishikesh,Dev Sanskriti Vishwavidyalaya,3rd,Business Analytics,Mass-Mailing
LD177,Delhi,Indian Institute of Technology Delhi,1st,Prompt Engineering,LinkedIn
LD178,Delhi,Jamia Millia Islamia,4th,Data Analytics,Mass-Mailing
LD179,Srinagar,National Institute of Technology Srinagar,1st,Data Analytics,WhatsApp
LD180,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,3rd,Data Analytics,Google Form
LD181,Mumbai,St. Xavier's College,3rd,Data Analytics,Collaboration
LD182,Chennai,Loyola College,1st,Robotics,LinkedIn
LD183,Ahmedabad,Indian Institute of Management Ahmedabad,1st,Business Analytics,Collaboration
LD184,Goa,"Birla Institute of Technology and Science, Goa",2nd,Data Analytics,Collaboration
LD185,Agra,Dayalbagh Educational Institute,1st,Prompt Engineering,WhatsApp
LD186,Jaipur,University of Rajasthan,3rd,Software Engineering,Instagram
LD187,Ahmedabad,CEPT University,4th,Prompt Engineering,Mass-Mailing
LD188,Shimla,St. Bede's College,1st,Software Engineering,LinkedIn
LD189,Lucknow,Indian Institute of Management Lucknow,1st,Business Analytics,Google Form
LD190,Delhi,Jamia Millia Islamia,2nd,Accounting,College
LD191,Shimla,Indira Gandhi Medical College,2nd,Robotics,Mass-Mailing
LD192,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",3rd,Accounting,Collaboration
LD193,Lucknow,"Amity University, Lucknow",2nd,Software Engineering,WhatsApp
LD194,Agra,Hindustan College of Science and Technology,3rd,Prompt Engineering,LinkedIn
LD195,Lucknow,Indian Institute of Management Lucknow,4th,Data Science,Instagram
LD196,Varanasi,Ashoka Institute of Technology and Management,2nd,Robotics,Collaboration
LD197,Srinagar,Amar Singh College,3rd,Robotics,Collaboration
LD198,Ahmedabad,CEPT University,2nd,Software Engineering,College
LD199,Jaipur,Manipal University Jaipur,3rd,Accounting,WhatsApp
LD200,Shimla,Himachal Pradesh University,3rd,Finance,Collaboration
LD201,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",3rd,Data Science,Collaboration
LD202,Delhi,University of Delhi,2nd,Electric Vehicle,Mass-Mailing
LD203,Hyderabad,Osmania University,4th,Software Engineering,Google Form
LD204,Udaipur,Vidya Bhawan Polytechnic College,1st,AI,LinkedIn
LD205,Rishikesh,Parmarth Niketan,1st,Data Science,Mass-Mailing
LD206,Agra,Agra College,3rd,Data Science,LinkedIn
LD207,Amritsar,"Khalsa College, Amritsar",3rd,Data Science,LinkedIn
LD208,Ahmedabad,CEPT University,4th,AI,College
LD209,Agra,Agra College,2nd,Prompt Engineering,WhatsApp
LD210,Shimla,Indira Gandhi Medical College,4th,Business Analytics,Instagram
LD211,Lucknow,Indian Institute of Management Lucknow,1st,Data Science,Mass-Mailing
LD212,Pune,Fergusson College,2nd,Data Science,Collaboration
LD213,Shimla,St. Bede's College,4th,Software Engineering,Google Form
LD214,Bangalore,Indian Institute of Management Bangalore,2nd,Software Engineering,Mass-Mailing
LD215,Chennai,University of Madras,1st,Prompt Engineering,WhatsApp
LD216,Jaipur,"St. Xavier's College, Jaipur",3rd,Finance,Instagram
LD217,Jaipur,University of Rajasthan,3rd,AI,Mass-Mailing
LD218,Delhi,Jamia Millia Islamia,2nd,Software Engineering,Mass-Mailing
LD219,Mumbai,Narsee Monjee Institute of Management Studies,2nd,Robotics,Mass-Mailing
LD220,Srinagar,Amar Singh College,1st,Prompt Engineering,LinkedIn
LD221,Delhi,Jamia Millia Islamia,4th,Business Analytics,Google Form
LD222,Varanasi,Banaras Hindu University,4th,Robotics,Instagram
LD223,Agra,Dr. Bhimrao Ambedkar University,3rd,Robotics,College
LD224,Amritsar,Guru Nanak Dev University,1st,AI,LinkedIn
LD225,Bangalore,RV College of Engineering,3rd,Accounting,Instagram
LD226,Hyderabad,Indian Institute of Technology Hyderabad,2nd,Accounting,Instagram
LD227,Kolkata,Jadavpur University,1st,Accounting,LinkedIn
LD228,Goa,Goa University,3rd,Data Science,Mass-Mailing
LD229,Udaipur,Mohanlal Sukhadia University,1st,Accounting,WhatsApp
LD230,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,4th,Accounting,Google Form
LD231,Amritsar,Guru Nanak Dev University,3rd,Electric Vehicle,Collaboration
LD232,Ahmedabad,Indian Institute of Management Ahmedabad,1st,Prompt Engineering,Mass-Mailing
LD233,Kolkata,Jadavpur University,1st,Software Engineering,Instagram
LD234,Delhi,University of Delhi,2nd,Electric Vehicle,Instagram
LD235,Amritsar,"Hindu College, Amritsar",2nd,Electric Vehicle,College
LD236,Mumbai,University of Mumbai,2nd,Finance,Mass-Mailing
LD237,Varanasi,Ashoka Institute of Technology and Management,4th,Electric Vehicle,Mass-Mailing
LD238,Kolkata,Indian Statistical Institute,2nd,Accounting,Google Form
LD239,Lucknow,"Amity University, Lucknow",3rd,Data Analytics,Google Form
LD240,Srinagar,Amar Singh College,4th,Electric Vehicle,Mass-Mailing
LD241,Delhi,University of Delhi,2nd,Business Analytics,Instagram
LD242,Chennai,University of Madras,2nd,Accounting,College
LD243,Shimla,Indian Institute of Advanced Study,3rd,AI,Collaboration
LD244,Shimla,St. Bede's College,3rd,Software Engineering,College
LD245,Shimla,Indira Gandhi Medical College,3rd,Data Analytics,WhatsApp
LD246,Shimla,"DAV Centenary Public School, Shimla",2nd,Data Analytics,Google Form
LD247,Goa,Goa College of Engineering,1st,Business Analytics,Google Form
LD248,Goa,Goa University,1st,Business Analytics,College
LD249,Mumbai,Tata Institute of Social Sciences,1st,AI,Google Form
LD250,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",1st,Business Analytics,College
LD251,Amritsar,BBK DAV College for Women,2nd,Business Analytics,Mass-Mailing
LD252,Delhi,University of Delhi,1st,Business Analytics,WhatsApp
LD253,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",2nd,Business Analytics,Google Form
LD254,Hyderabad,Indian Institute of Technology Hyderabad,3rd,Business Analytics,LinkedIn
LD255,Agra,Dayalbagh Educational Institute,1st,Finance,Collaboration
LD256,Goa,Goa College of Engineering,2nd,Accounting,College
LD257,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Electric Vehicle,Mass-Mailing
LD258,Delhi,University of Delhi,3rd,Robotics,WhatsApp
LD259,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",1st,Finance,LinkedIn
LD260,Delhi,Jamia Millia Islamia,3rd,Accounting,College
LD261,Lucknow,University of Lucknow,2nd,Data Analytics,Mass-Mailing
LD262,Delhi,All India Institute of Medical Sciences,1st,Software Engineering,WhatsApp
LD263,Rishikesh,Sri Hemkunt Sahib Public School,1st,Data Science,College
LD264,Shimla,Indian Institute of Advanced Study,4th,Accounting,Google Form
LD265,Varanasi,Sampurnanand Sanskrit University,3rd,Business Analytics,Google Form
LD266,Delhi,Jamia Millia Islamia,3rd,Accounting,Google Form
LD267,Delhi,All India Institute of Medical Sciences,2nd,Prompt Engineering,Google Form
LD268,Jaipur,"Birla Institute of Technology and Science, Pilani",2nd,Data Science,Instagram
LD269,Agra,Dayalbagh Educational Institute,2nd,Data Analytics,College
LD270,Bangalore,Indian Institute of Management Bangalore,4th,Robotics,Mass-Mailing
LD271,Shimla,"DAV Centenary Public School, Shimla",2nd,Business Analytics,Collaboration
LD272,Jaipur,University of Rajasthan,2nd,Software Engineering,WhatsApp
LD273,Delhi,Jamia Millia Islamia,2nd,Business Analytics,LinkedIn
LD274,Shimla,Himachal Pradesh University,2nd,Business Analytics,WhatsApp
LD275,Pune,"College of Engineering, Pune",4th,Accounting,LinkedIn
LD276,Lucknow,King George's Medical University,3rd,Data Science,LinkedIn
LD277,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Business Analytics,WhatsApp
LD278,Varanasi,Central Hindu School,4th,Robotics,WhatsApp
LD279,Jaipur,Manipal University Jaipur,1st,AI,College
LD280,Srinagar,University of Kashmir,4th,AI,WhatsApp
LD281,Goa,Goa College of Engineering,3rd,Electric Vehicle,Mass-Mailing
LD282,Bangalore,Bangalore University,2nd,Electric Vehicle,Mass-Mailing
LD283,Varanasi,Sampurnanand Sanskrit University,4th,Data Analytics,Instagram
LD284,Varanasi,Ashoka Institute of Technology and Management,4th,Finance,Collaboration
LD285,Lucknow,Babasaheb Bhimrao Ambedkar University,1st,Data Analytics,Instagram
LD286,Srinagar,University of Kashmir,1st,Finance,Google Form
LD287,Agra,St. John's College,2nd,Robotics,College
LD288,Chennai,Indian Institute of Technology Madras,1st,Accounting,Instagram
LD289,Rishikesh,Dev Sanskriti Vishwavidyalaya,4th,Accounting,WhatsApp
LD290,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,1st,Finance,College
LD291,Chennai,Anna University,3rd,Accounting,Instagram
LD292,Ahmedabad,CEPT University,1st,Finance,Collaboration
LD293,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",2nd,Finance,Google Form
LD294,Delhi,Indian Institute of Technology Delhi,1st,Data Science,College
LD295,Bangalore,Indian Institute of Science,3rd,Data Analytics,College
LD296,Lucknow,"Amity University, Lucknow",2nd,Accounting,Mass-Mailing
LD297,Udaipur,Pacific University,4th,Electric Vehicle,Google Form
LD298,Pune,Fergusson College,4th,AI,Collaboration
LD299,Srinagar,Amar Singh College,2nd,Finance,Instagram
LD300,Agra,Dayalbagh Educational Institute,2nd,Prompt Engineering,Google Form
LD301,Jaipur,Manipal University Jaipur,3rd,AI,Collaboration
LD302,Goa,Goa University,2nd,Software Engineering,Mass-Mailing
LD303,Bangalore,Indian Institute of Science,4th,Accounting,Mass-Mailing
LD304,Srinagar,University of Kashmir,1st,Prompt Engineering,Collaboration
LD305,Hyderabad,Osmania University,4th,Electric Vehicle,Google Form
LD306,Srinagar,National Institute of Technology Srinagar,3rd,Prompt Engineering,LinkedIn
LD307,Ahmedabad,CEPT University,1st,Finance,College
LD308,Jaipur,Manipal University Jaipur,2nd,Accounting,LinkedIn
LD309,Delhi,Jawaharlal Nehru University,3rd,Robotics,Mass-Mailing
LD310,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",4th,Data Science,Collaboration
LD311,Amritsar,"Hindu College, Amritsar",1st,AI,Mass-Mailing
LD312,Pune,Indian Institute of Technology Pune,4th,Software Engineering,LinkedIn
LD313,Mysore,All India Institute of Speech and Hearing,4th,Data Analytics,Mass-Mailing
LD314,Chennai,Anna University,2nd,Data Science,College
LD315,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,Data Analytics,Collaboration
LD316,Mumbai,Narsee Monjee Institute of Management Studies,2nd,Software Engineering,Collaboration
LD317,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,2nd,Data Analytics,WhatsApp
LD318,Goa,Padre Conceicao College of Engineering,3rd,Software Engineering,LinkedIn
LD319,Kolkata,Presidency University,3rd,Data Analytics,Instagram
LD320,Chennai,Madras Christian College,3rd,Robotics,Collaboration
LD321,Kolkata,Indian Institute of Technology Kharagpur,4th,Data Science,Mass-Mailing
LD322,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",2nd,Business Analytics,WhatsApp
LD323,Bangalore,Christ University,3rd,Finance,Google Form
LD324,Chennai,Indian Institute of Technology Madras,1st,Accounting,Instagram
LD325,Mumbai,Tata Institute of Social Sciences,4th,Data Science,LinkedIn
LD326,Mumbai,Narsee Monjee Institute of Management Studies,4th,Robotics,Instagram
LD327,Varanasi,Sampurnanand Sanskrit University,3rd,Robotics,College
LD328,Mysore,All India Institute of Speech and Hearing,2nd,Data Analytics,LinkedIn
LD329,Amritsar,Sri Guru Ram Das University of Health Sciences,2nd,Business Analytics,Mass-Mailing
LD330,Chennai,Anna University,1st,Software Engineering,College
LD331,Shimla,Indira Gandhi Medical College,4th,Accounting,Instagram
LD332,Ahmedabad,CEPT University,1st,Business Analytics,Google Form
LD333,Bangalore,RV College of Engineering,3rd,AI,College
LD334,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Finance,WhatsApp
LD335,Ahmedabad,CEPT University,1st,AI,Instagram
LD336,Rishikesh,Sri Hemkunt Sahib Public School,1st,Software Engineering,College
LD337,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,4th,Data Science,College
LD338,Lucknow,Indian Institute of Management Lucknow,3rd,Robotics,College
LD339,Jaipur,Malaviya National Institute of Technology Jaipur,3rd,Data Analytics,Collaboration
LD340,Jaipur,"Birla Institute of Technology and Science, Pilani",4th,Business Analytics,WhatsApp
LD341,Amritsar,"Khalsa College, Amritsar",1st,Electric Vehicle,Google Form
LD342,Varanasi,Banaras Hindu University,4th,Business Analytics,Instagram
LD343,Chennai,Anna University,2nd,Business Analytics,Instagram
LD344,Amritsar,Sri Guru Ram Das University of Health Sciences,2nd,Finance,Google Form
LD345,Bangalore,Indian Institute of Management Bangalore,2nd,Accounting,Collaboration
LD346,Agra,Dr. Bhimrao Ambedkar University,4th,Data Analytics,Instagram
LD347,Srinagar,"Government Medical College, Srinagar",2nd,Robotics,WhatsApp
LD348,Delhi,University of Delhi,2nd,Data Science,Instagram
LD349,Goa,"Birla Institute of Technology and Science, Goa",2nd,Robotics,College
LD350,Jaipur,Manipal University Jaipur,2nd,Data Analytics,College
LD351,Amritsar,"Hindu College, Amritsar",3rd,Robotics,Mass-Mailing
LD352,Srinagar,University of Kashmir,4th,Software Engineering,College
LD353,Mumbai,Tata Institute of Social Sciences,2nd,Business Analytics,Google Form
LD354,Mumbai,St. Xavier's College,4th,Data Analytics,LinkedIn
LD355,Jaipur,Manipal University Jaipur,2nd,AI,Google Form
LD356,Udaipur,Maharana Pratap University of Agriculture and Technology,1st,Business Analytics,College
LD357,Udaipur,Vidya Bhawan Polytechnic College,2nd,Data Science,Mass-Mailing
LD358,Lucknow,King George's Medical University,3rd,Prompt Engineering,LinkedIn
LD359,Srinagar,"Government Medical College, Srinagar",1st,Accounting,LinkedIn
LD360,Udaipur,Maharana Pratap University of Agriculture and Technology,2nd,Electric Vehicle,WhatsApp
LD361,Varanasi,Banaras Hindu University,2nd,Data Science,Mass-Mailing
LD362,Kolkata,Presidency University,2nd,Electric Vehicle,Mass-Mailing
LD363,Delhi,University of Delhi,4th,Data Science,Google Form
LD364,Goa,Goa College of Engineering,1st,Electric Vehicle,LinkedIn
LD365,Bangalore,RV College of Engineering,1st,Finance,Google Form
LD366,Ahmedabad,Gujarat University,1st,Finance,Mass-Mailing
LD367,Udaipur,Pacific University,4th,Accounting,LinkedIn
LD368,Lucknow,Indian Institute of Management Lucknow,3rd,Data Science,Google Form
